ExperimentName,Subject,Session,Age,Clock.Information,Clock.StartTimeOfDay,Display.RefreshRate,Group,Handedness,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Sex,Block,Animacy,ButtonDistance,Condition,CorrectPractice,CorrectResponse,CriticalStimuli,DecisionScreen.ACC,DecisionScreen.RT,DecisionScreen.RTTime,DecisionScreen2.ACC,DecisionScreen2.RT,DecisionScreen2.RTTime,FAST,FillerNonsensical,FillerSensical,FillerSentence,ItemNo,Landmark,MainCrossair.RT,MainCrossair.RTTime,MainCrossair2.RT,MainCrossair2.RTTime,MainDecision.ACC,MainDecision.CRESP,MainDecision.RESP,MainDecision.RT,MainDecision.RTTime,MainDecision2.ACC,MainDecision2.CRESP,MainDecision2.RESP,MainDecision2.RT,MainDecision2.RTTime,MainExperimentFirst,MainExperimentFirst.Cycle,MainExperimentFirst.Sample,MainExperimentSecond,MainExperimentSecond.Cycle,MainExperimentSecond.Sample,MainSentence.RT,MainSentence.RTTime,MainSentence2.RT,MainSentence2.RTTime,PracticeList,PracticeList.Cycle,PracticeList.Sample,PracticeSessionTwo,PracticeSessionTwo.Cycle,PracticeSessionTwo.Sample,Procedure,Running,Sensibility,Sentence,SentenceDisplay.RT,SentenceDisplay.RTTime,SentenceToDisplay,SLOW,Type,Verb
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,11,,,,9,,,1,727,149065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,11,,,,PracticeProcedure,PracticeList,sense,The trees are blowing in the wind,1205,148329,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,12,,,,5,,,1,631,154955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,12,,,,PracticeProcedure,PracticeList,nonsense,The hawk is measuring under the highway,1269,154313,,,practice,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,13,inanimate,close,FILLER,,5,,,,,,,,,28,,The block is piling across the tires,64,across,854,231431,,,1,5,5,638,233575,,,,,,4,1,1,,,,1491,232935,,,,,,,,,MainProcedure,MainExperimentFirst,nonsense,,,,The block is piling across the tires,,filler_nonsense,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,14,inanimate,far,FILLER,,9,,,,,,,,,,7,The book is on the table,25,other,1115,236199,,,1,9,9,638,237895,,,,,,3,1,2,,,,1051,237255,,,,,,,,,MainProcedure,MainExperimentFirst,sensible,,,,The book is on the table,,filler_sensible,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,15,human,far,SLOW,,9,16,,,,,,,The runner is bolting across the finish line,,,,16,across,639,240043,,,1,9,9,630,242247,,,,,,1,1,3,,,,1550,241607,,,,,,,,,MainProcedure,MainExperimentFirst,sensible,,,,The runner is prancing across the finish line,The runner is prancing across the finish line,primary,prance/bolt
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,16,human,far,SLOW,,9,7,,,,,,,The woman is zooming across the campus,,,,7,across,563,244327,,,1,9,9,766,246823,,,,,,1,1,4,,,,1718,246055,,,,,,,,,MainProcedure,MainExperimentFirst,sensible,,,,The woman is meandering across the campus,The woman is meandering across the campus,primary,meander/zoom
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,17,human,far,SLOW,,9,18,,,,,,,The football player is dancing across the end zone,,,,18,across,566,248903,,,1,9,9,1395,252199,,,,,,1,1,5,,,,1881,250791,,,,,,,,,MainProcedure,MainExperimentFirst,sensible,,,,The football player is shooting across the end zone,The football player is shooting across the end zone,primary,shoot/dance
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,18,inanimate,far,FILLER,,9,,,,,,,,,,8,The plate is on the counter,26,other,697,254407,,,1,9,9,670,256647,,,,,,3,1,6,,,,1558,255975,,,,,,,,,MainProcedure,MainExperimentFirst,sensible,,,,The plate is on the counter,,filler_sensible,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,19,animal,far,FILLER,,9,,,,,,,,,,17,The mouse is hiding behind the wall,35,other,371,258535,,,1,9,9,665,260615,,,,,,3,1,7,,,,1406,259943,,,,,,,,,MainProcedure,MainExperimentFirst,sensible,,,,The mouse is hiding behind the wall,,filler_sensible,
marcus2_A,1,55552,18,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3192070000</Frequency><Timestamp dt:dt=""r8"">4.68333411156818E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-06T17:28:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",5/6/15 10:28,75.001,Bodo,right,436436898,5/6/15,10:28:56,5:28:56 PM,female,20,animal,far,FILLER,,9,,,,,,,,,,14,The cat is resting in the corner,32,other,411,262535,,,1,9,9,793,264903,,,,,,3,1,8,,,,1569,264106,,,,,,,,,MainProcedure,MainExperimentFirst,sensible,,,,The cat is resting in the corner,,filler_sensible,
